#t:nan-nan ; rate:nan-nan
rate: 8297 	 duration: 632 
rate: 311 	 duration: 654 
rate: 2705 	 duration: 612 
rate: 1341 	 duration: 671 
rate: 916 	 duration: 720 
rate: 1536 	 duration: 500 
rate: 13485 	 duration: 501 
rate: 7992 	 duration: 500 
rate: 7458 	 duration: 502 
rate: 11618 	 duration: 503 
rate: 6225 	 duration: 505 
rate: 3099 	 duration: 515 
rate: 464 	 duration: 517 
rate: 2913 	 duration: 556 
rate: 984 	 duration: 500 
rate: 2023 	 duration: 504 
rate: 4067 	 duration: 531 
rate: 2184 	 duration: 500 
rate: 3166 	 duration: 504 
rate: 5472 	 duration: 500 
rate: 3865 	 duration: 506 
rate: 5424 	 duration: 500 
rate: 3570 	 duration: 521 
rate: 2544 	 duration: 500 
rate: 6249 	 duration: 505 
rate: 6528 	 duration: 500 
rate: 9456 	 duration: 500 
