#t:nan-nan ; rate:nan-nan
rate: 7080 	 duration: 500 
rate: 10128 	 duration: 500 
rate: 12840 	 duration: 500 
rate: 16632 	 duration: 500 
rate: 16056 	 duration: 500 
rate: 16176 	 duration: 500 
rate: 20616 	 duration: 500 
rate: 15449 	 duration: 501 
rate: 12526 	 duration: 501 
rate: 13872 	 duration: 500 
rate: 14208 	 duration: 500 
rate: 12936 	 duration: 500 
rate: 12648 	 duration: 500 
rate: 12504 	 duration: 500 
rate: 12744 	 duration: 500 
rate: 12407 	 duration: 501 
rate: 11928 	 duration: 500 
rate: 16071 	 duration: 501 
rate: 13032 	 duration: 500 
rate: 7497 	 duration: 509 
rate: 10272 	 duration: 500 
rate: 16440 	 duration: 500 
rate: 18932 	 duration: 502 
rate: 19032 	 duration: 500 
rate: 18480 	 duration: 500 
rate: 18000 	 duration: 500 
rate: 11833 	 duration: 505 
rate: 10608 	 duration: 500 
rate: 18264 	 duration: 500 
rate: 16056 	 duration: 500 
rate: 11064 	 duration: 500 
rate: 8352 	 duration: 500 
rate: 2808 	 duration: 517 
rate: 6792 	 duration: 500 
rate: 10056 	 duration: 500 
rate: 7219 	 duration: 502 
rate: 12984 	 duration: 500 
rate: 18908 	 duration: 502 
rate: 10680 	 duration: 500 
rate: 9600 	 duration: 500 
rate: 12888 	 duration: 500 
rate: 17760 	 duration: 500 
rate: 17808 	 duration: 500 
rate: 11407 	 duration: 506 
rate: 5652 	 duration: 501 
rate: 7896 	 duration: 500 
rate: 11017 	 duration: 501 
rate: 11040 	 duration: 500 
rate: 8584 	 duration: 506 
rate: 11568 	 duration: 500 
rate: 10982 	 duration: 507 
rate: 6932 	 duration: 502 
rate: 11064 	 duration: 500 
rate: 11568 	 duration: 500 
rate: 9912 	 duration: 500 
rate: 16359 	 duration: 501 
rate: 15528 	 duration: 500 
rate: 8750 	 duration: 517 
rate: 8856 	 duration: 500 
rate: 12480 	 duration: 500 
rate: 10344 	 duration: 500 
rate: 6586 	 duration: 501 
rate: 4880 	 duration: 504 
rate: 7435 	 duration: 510 
rate: 4063 	 duration: 502 
rate: 4056 	 duration: 500 
rate: 3408 	 duration: 500 
rate: 4302 	 duration: 502 
rate: 2287 	 duration: 514 
rate: 3745 	 duration: 503 
rate: 4008 	 duration: 500 
rate: 4087 	 duration: 502 
rate: 2404 	 duration: 509 
rate: 3336 	 duration: 500 
rate: 8880 	 duration: 500 
rate: 14352 	 duration: 500 
rate: 14778 	 duration: 501 
rate: 9166 	 duration: 504 
rate: 3832 	 duration: 501 
rate: 7662 	 duration: 509 
rate: 886 	 duration: 2492 
rate: 13176 	 duration: 500 
rate: 13104 	 duration: 500 
rate: 11664 	 duration: 500 
rate: 11856 	 duration: 502 
rate: 10560 	 duration: 500 
rate: 4359 	 duration: 501 
rate: 11424 	 duration: 500 
rate: 8712 	 duration: 511 
rate: 4704 	 duration: 500 
rate: 11544 	 duration: 500 
rate: 10344 	 duration: 500 
rate: 10231 	 duration: 502 
rate: 6648 	 duration: 500 
rate: 7080 	 duration: 500 
rate: 8372 	 duration: 516 
rate: 4646 	 duration: 501 
rate: 7473 	 duration: 501 
rate: 8336 	 duration: 511 
rate: 2886 	 duration: 503 
rate: 6144 	 duration: 500 
rate: 5895 	 duration: 515 
rate: 5040 	 duration: 500 
rate: 9624 	 duration: 500 
rate: 10761 	 duration: 504 
rate: 5952 	 duration: 502 
rate: 6153 	 duration: 507 
rate: 6216 	 duration: 500 
rate: 6191 	 duration: 502 
rate: 7553 	 duration: 502 
rate: 7536 	 duration: 500 
rate: 10224 	 duration: 500 
rate: 7560 	 duration: 500 
rate: 8357 	 duration: 504 
rate: 9048 	 duration: 500 
rate: 16944 	 duration: 500 
rate: 14976 	 duration: 500 
rate: 15053 	 duration: 503 
rate: 13080 	 duration: 500 
rate: 11568 	 duration: 501 
rate: 8031 	 duration: 502 
rate: 11907 	 duration: 520 
rate: 14712 	 duration: 500 
rate: 8784 	 duration: 500 
rate: 8766 	 duration: 501 
rate: 10176 	 duration: 500 
rate: 12624 	 duration: 500 
rate: 10972 	 duration: 502 
rate: 5088 	 duration: 500 
rate: 13900 	 duration: 505 
rate: 5016 	 duration: 500 
rate: 5892 	 duration: 501 
rate: 4996 	 duration: 502 
rate: 5536 	 duration: 505 
rate: 10656 	 duration: 500 
rate: 18552 	 duration: 500 
rate: 19032 	 duration: 500 
rate: 19536 	 duration: 500 
rate: 20304 	 duration: 500 
rate: 18624 	 duration: 500 
rate: 18912 	 duration: 500 
rate: 21528 	 duration: 500 
