#t:nan-nan ; rate:nan-nan
rate: 41856 	 duration: 500 
rate: 49536 	 duration: 500 
rate: 21888 	 duration: 500 
rate: 22080 	 duration: 500 
rate: 19944 	 duration: 500 
rate: 21604 	 duration: 501 
rate: 19416 	 duration: 500 
rate: 20520 	 duration: 500 
rate: 20718 	 duration: 501 
rate: 23280 	 duration: 500 
rate: 11605 	 duration: 670 
rate: 18120 	 duration: 500 
rate: 21936 	 duration: 500 
rate: 20640 	 duration: 500 
rate: 21816 	 duration: 500 
rate: 23904 	 duration: 500 
rate: 24552 	 duration: 500 
rate: 21144 	 duration: 500 
rate: 20448 	 duration: 500 
rate: 19992 	 duration: 500 
rate: 6264 	 duration: 500 
rate: 20808 	 duration: 500 
rate: 20904 	 duration: 500 
rate: 22632 	 duration: 500 
rate: 23112 	 duration: 500 
rate: 24864 	 duration: 500 
rate: 24504 	 duration: 500 
rate: 21144 	 duration: 500 
rate: 20808 	 duration: 500 
rate: 18826 	 duration: 501 
rate: 8928 	 duration: 500 
rate: 20136 	 duration: 500 
rate: 21288 	 duration: 500 
rate: 19185 	 duration: 501 
rate: 23880 	 duration: 500 
rate: 21216 	 duration: 500 
rate: 22416 	 duration: 500 
rate: 19968 	 duration: 500 
rate: 21000 	 duration: 500 
rate: 21288 	 duration: 500 
rate: 9648 	 duration: 500 
rate: 18744 	 duration: 500 
rate: 17904 	 duration: 500 
rate: 22008 	 duration: 500 
rate: 21048 	 duration: 500 
rate: 21456 	 duration: 500 
rate: 22056 	 duration: 500 
rate: 22680 	 duration: 500 
rate: 22560 	 duration: 500 
rate: 24528 	 duration: 500 
rate: 9552 	 duration: 500 
rate: 23160 	 duration: 500 
rate: 20352 	 duration: 500 
rate: 21744 	 duration: 500 
rate: 20760 	 duration: 500 
rate: 20424 	 duration: 500 
rate: 21144 	 duration: 500 
rate: 17796 	 duration: 501 
rate: 22128 	 duration: 500 
rate: 23520 	 duration: 500 
rate: 17376 	 duration: 500 
rate: 19584 	 duration: 500 
rate: 21600 	 duration: 500 
rate: 20520 	 duration: 500 
rate: 21360 	 duration: 500 
rate: 21696 	 duration: 500 
rate: 20304 	 duration: 500 
rate: 19200 	 duration: 500 
rate: 24456 	 duration: 500 
rate: 23256 	 duration: 500 
rate: 25200 	 duration: 500 
rate: 19368 	 duration: 500 
rate: 21120 	 duration: 500 
rate: 22368 	 duration: 500 
rate: 20184 	 duration: 500 
rate: 19632 	 duration: 500 
rate: 21312 	 duration: 500 
rate: 22920 	 duration: 500 
rate: 21672 	 duration: 500 
rate: 21360 	 duration: 500 
rate: 23568 	 duration: 500 
rate: 19272 	 duration: 500 
rate: 21528 	 duration: 500 
rate: 21552 	 duration: 500 
rate: 18648 	 duration: 500 
rate: 16296 	 duration: 500 
rate: 21312 	 duration: 500 
rate: 22704 	 duration: 500 
rate: 19296 	 duration: 500 
rate: 18960 	 duration: 500 
rate: 21936 	 duration: 500 
rate: 19248 	 duration: 500 
rate: 22080 	 duration: 500 
rate: 22104 	 duration: 500 
rate: 21312 	 duration: 500 
rate: 20664 	 duration: 500 
rate: 21792 	 duration: 500 
rate: 24024 	 duration: 500 
rate: 19944 	 duration: 500 
rate: 23016 	 duration: 500 
rate: 18419 	 duration: 501 
rate: 21840 	 duration: 500 
rate: 22296 	 duration: 500 
rate: 22464 	 duration: 500 
rate: 22080 	 duration: 500 
rate: 23400 	 duration: 500 
rate: 23928 	 duration: 500 
rate: 21792 	 duration: 500 
rate: 17880 	 duration: 500 
rate: 20736 	 duration: 500 
rate: 22008 	 duration: 500 
rate: 17208 	 duration: 500 
rate: 7752 	 duration: 500 
rate: 6888 	 duration: 500 
rate: 8053 	 duration: 526 
rate: 6312 	 duration: 538 
rate: 4398 	 duration: 502 
rate: 1597 	 duration: 586 
rate: 3452 	 duration: 504 
rate: 3816 	 duration: 500 
rate: 4992 	 duration: 500 
rate: 11808 	 duration: 500 
rate: 18083 	 duration: 501 
rate: 22008 	 duration: 500 
rate: 16008 	 duration: 500 
rate: 15384 	 duration: 500 
rate: 11904 	 duration: 500 
rate: 16574 	 duration: 501 
rate: 16008 	 duration: 500 
rate: 11069 	 duration: 503 
rate: 18144 	 duration: 500 
rate: 12000 	 duration: 500 
rate: 14064 	 duration: 500 
rate: 22512 	 duration: 500 
rate: 20592 	 duration: 500 
rate: 20232 	 duration: 500 
rate: 22056 	 duration: 500 
rate: 19440 	 duration: 500 
rate: 21288 	 duration: 500 
rate: 18504 	 duration: 500 
rate: 11760 	 duration: 500 
rate: 8484 	 duration: 512 
rate: 8208 	 duration: 500 
rate: 4743 	 duration: 506 
rate: 4167 	 duration: 501 
rate: 3650 	 duration: 503 
rate: 4287 	 duration: 501 
rate: 4574 	 duration: 501 
rate: 4000 	 duration: 531 
rate: 2528 	 duration: 503 
rate: 2811 	 duration: 508 
rate: 4047 	 duration: 501 
rate: 2395 	 duration: 501 
rate: 2694 	 duration: 521 
rate: 6000 	 duration: 500 
rate: 4680 	 duration: 500 
rate: 7728 	 duration: 500 
rate: 5352 	 duration: 500 
rate: 8928 	 duration: 500 
rate: 11496 	 duration: 500 
rate: 8486 	 duration: 502 
rate: 9360 	 duration: 500 
rate: 10254 	 duration: 502 
rate: 8736 	 duration: 500 
rate: 4344 	 duration: 500 
rate: 7928 	 duration: 504 
rate: 7848 	 duration: 500 
rate: 5136 	 duration: 500 
rate: 8486 	 duration: 502 
rate: 9024 	 duration: 500 
rate: 9840 	 duration: 500 
rate: 11976 	 duration: 501 
rate: 3864 	 duration: 500 
rate: 4320 	 duration: 500 
rate: 3758 	 duration: 514 
rate: 3179 	 duration: 502 
rate: 2928 	 duration: 500 
rate: 7379 	 duration: 509 
rate: 4776 	 duration: 520 
rate: 7944 	 duration: 500 
rate: 10444 	 duration: 509 
rate: 6816 	 duration: 500 
rate: 7379 	 duration: 535 
rate: 8142 	 duration: 504 
rate: 9657 	 duration: 502 
rate: 8862 	 duration: 501 
rate: 9528 	 duration: 539 
rate: 6253 	 duration: 520 
rate: 5904 	 duration: 500 
rate: 4215 	 duration: 501 
rate: 11520 	 duration: 500 
rate: 6107 	 duration: 501 
rate: 4512 	 duration: 500 
rate: 5976 	 duration: 500 
rate: 11952 	 duration: 500 
rate: 16128 	 duration: 500 
rate: 6288 	 duration: 500 
rate: 7632 	 duration: 522 
rate: 15764 	 duration: 510 
rate: 3279 	 duration: 516 
rate: 5005 	 duration: 501 
rate: 7632 	 duration: 500 
rate: 2782 	 duration: 772 
rate: 631 	 duration: 513 
rate: 653 	 duration: 514 
rate: 2964 	 duration: 587 
rate: 471 	 duration: 535 
rate: 4872 	 duration: 500 
rate: 19776 	 duration: 500 
rate: 20880 	 duration: 500 
rate: 16248 	 duration: 500 
rate: 12216 	 duration: 500 
rate: 10562 	 duration: 501 
rate: 18456 	 duration: 500 
rate: 19896 	 duration: 500 
rate: 20352 	 duration: 500 
rate: 19128 	 duration: 500 
rate: 18408 	 duration: 500 
rate: 19368 	 duration: 500 
rate: 23472 	 duration: 500 
rate: 25224 	 duration: 500 
rate: 23256 	 duration: 500 
rate: 20904 	 duration: 500 
rate: 17544 	 duration: 500 
rate: 23208 	 duration: 500 
rate: 20712 	 duration: 500 
rate: 21960 	 duration: 500 
rate: 20688 	 duration: 500 
rate: 18144 	 duration: 500 
rate: 21384 	 duration: 500 
rate: 24744 	 duration: 500 
rate: 12500 	 duration: 503 
rate: 12984 	 duration: 500 
rate: 13872 	 duration: 500 
rate: 18642 	 duration: 504 
rate: 15720 	 duration: 500 
rate: 18395 	 duration: 501 
