#t:nan-nan ; rate:nan-nan
rate: 19464 	 duration: 500 
rate: 20424 	 duration: 500 
rate: 10416 	 duration: 500 
rate: 20544 	 duration: 500 
rate: 21336 	 duration: 500 
rate: 15288 	 duration: 500 
rate: 12960 	 duration: 500 
rate: 17376 	 duration: 500 
rate: 20520 	 duration: 500 
rate: 13328 	 duration: 777 
rate: 14409 	 duration: 503 
rate: 13984 	 duration: 502 
rate: 11904 	 duration: 500 
rate: 8976 	 duration: 500 
rate: 10658 	 duration: 501 
rate: 9408 	 duration: 500 
rate: 12864 	 duration: 500 
rate: 16197 	 duration: 506 
rate: 10170 	 duration: 505 
rate: 15408 	 duration: 500 
rate: 15432 	 duration: 500 
rate: 17640 	 duration: 500 
rate: 18504 	 duration: 500 
rate: 20472 	 duration: 500 
rate: 16968 	 duration: 500 
rate: 14232 	 duration: 500 
rate: 15864 	 duration: 500 
rate: 16968 	 duration: 500 
rate: 15600 	 duration: 500 
rate: 19464 	 duration: 500 
rate: 20520 	 duration: 500 
rate: 16560 	 duration: 500 
rate: 17256 	 duration: 500 
rate: 18576 	 duration: 500 
rate: 22056 	 duration: 500 
rate: 21096 	 duration: 500 
rate: 21168 	 duration: 500 
rate: 21192 	 duration: 500 
rate: 21000 	 duration: 500 
rate: 22776 	 duration: 500 
rate: 24480 	 duration: 500 
rate: 21888 	 duration: 500 
rate: 23352 	 duration: 500 
rate: 20904 	 duration: 500 
rate: 25080 	 duration: 500 
rate: 21144 	 duration: 500 
rate: 24336 	 duration: 500 
rate: 23016 	 duration: 500 
rate: 20832 	 duration: 500 
rate: 21936 	 duration: 500 
rate: 16488 	 duration: 500 
rate: 19152 	 duration: 500 
rate: 20727 	 duration: 506 
rate: 16608 	 duration: 500 
rate: 20400 	 duration: 500 
rate: 20112 	 duration: 500 
rate: 20640 	 duration: 500 
rate: 18816 	 duration: 500 
rate: 20352 	 duration: 500 
rate: 20760 	 duration: 500 
rate: 23784 	 duration: 500 
rate: 20928 	 duration: 500 
rate: 20184 	 duration: 500 
rate: 21816 	 duration: 500 
rate: 19704 	 duration: 500 
rate: 21360 	 duration: 500 
rate: 19344 	 duration: 500 
rate: 20215 	 duration: 501 
rate: 20568 	 duration: 500 
rate: 22080 	 duration: 500 
rate: 18840 	 duration: 500 
rate: 6388 	 duration: 509 
rate: 4272 	 duration: 500 
rate: 5256 	 duration: 500 
rate: 4152 	 duration: 500 
rate: 5029 	 duration: 501 
rate: 4502 	 duration: 501 
