#t:nan-nan ; rate:nan-nan
rate: 14592 	 duration: 500 
rate: 13389 	 duration: 501 
rate: 11952 	 duration: 500 
rate: 20448 	 duration: 500 
rate: 14784 	 duration: 500 
rate: 8712 	 duration: 500 
rate: 16776 	 duration: 500 
rate: 17400 	 duration: 500 
rate: 13430 	 duration: 537 
rate: 7440 	 duration: 500 
rate: 7565 	 duration: 506 
rate: 10848 	 duration: 500 
rate: 8462 	 duration: 519 
rate: 8988 	 duration: 502 
rate: 7928 	 duration: 501 
rate: 2521 	 duration: 514 
rate: 7887 	 duration: 604 
rate: 11353 	 duration: 501 
rate: 10296 	 duration: 500 
rate: 7752 	 duration: 500 
rate: 8431 	 duration: 501 
rate: 6408 	 duration: 500 
rate: 3064 	 duration: 509 
rate: 11232 	 duration: 500 
rate: 18984 	 duration: 500 
rate: 14400 	 duration: 500 
rate: 17016 	 duration: 500 
rate: 12936 	 duration: 500 
rate: 22200 	 duration: 500 
rate: 14136 	 duration: 500 
rate: 12192 	 duration: 500 
rate: 15072 	 duration: 500 
rate: 11376 	 duration: 500 
rate: 12408 	 duration: 500 
rate: 6478 	 duration: 502 
rate: 4383 	 duration: 501 
rate: 4239 	 duration: 501 
rate: 5808 	 duration: 500 
rate: 6706 	 duration: 501 
rate: 13392 	 duration: 500 
rate: 13848 	 duration: 500 
rate: 11208 	 duration: 500 
rate: 8531 	 duration: 557 
rate: 18360 	 duration: 500 
rate: 19560 	 duration: 500 
rate: 21408 	 duration: 500 
rate: 19944 	 duration: 500 
rate: 19488 	 duration: 500 
rate: 20064 	 duration: 500 
rate: 20856 	 duration: 500 
rate: 21000 	 duration: 500 
rate: 20904 	 duration: 500 
rate: 20664 	 duration: 500 
rate: 24912 	 duration: 500 
rate: 24024 	 duration: 500 
rate: 16071 	 duration: 501 
rate: 8544 	 duration: 500 
rate: 21936 	 duration: 500 
rate: 21840 	 duration: 500 
rate: 22392 	 duration: 500 
rate: 21264 	 duration: 500 
rate: 19440 	 duration: 500 
rate: 22176 	 duration: 500 
