#t:nan-nan ; rate:nan-nan
rate: 17616 	 duration: 500 
rate: 18600 	 duration: 500 
rate: 19680 	 duration: 500 
rate: 20568 	 duration: 500 
rate: 22392 	 duration: 500 
rate: 14472 	 duration: 500 
rate: 19032 	 duration: 500 
rate: 17424 	 duration: 500 
rate: 20472 	 duration: 500 
rate: 22176 	 duration: 500 
rate: 18960 	 duration: 500 
rate: 19992 	 duration: 500 
rate: 19992 	 duration: 500 
rate: 18624 	 duration: 500 
rate: 21744 	 duration: 500 
rate: 20880 	 duration: 500 
rate: 21024 	 duration: 500 
rate: 22344 	 duration: 500 
rate: 22440 	 duration: 500 
rate: 22824 	 duration: 500 
rate: 23088 	 duration: 500 
rate: 19176 	 duration: 500 
rate: 19728 	 duration: 500 
rate: 21456 	 duration: 500 
rate: 9864 	 duration: 500 
rate: 17952 	 duration: 500 
rate: 9824 	 duration: 502 
rate: 18047 	 duration: 502 
rate: 19296 	 duration: 500 
rate: 21120 	 duration: 500 
rate: 18648 	 duration: 500 
rate: 17232 	 duration: 500 
rate: 13680 	 duration: 500 
rate: 17448 	 duration: 500 
rate: 16992 	 duration: 500 
rate: 20088 	 duration: 500 
rate: 20904 	 duration: 500 
rate: 21408 	 duration: 500 
rate: 17712 	 duration: 500 
rate: 22512 	 duration: 500 
rate: 22680 	 duration: 500 
rate: 20904 	 duration: 500 
rate: 20688 	 duration: 500 
rate: 20928 	 duration: 500 
rate: 21168 	 duration: 500 
rate: 21408 	 duration: 500 
rate: 21000 	 duration: 500 
rate: 21696 	 duration: 500 
rate: 21384 	 duration: 500 
rate: 19872 	 duration: 500 
rate: 20256 	 duration: 500 
rate: 20472 	 duration: 500 
rate: 21288 	 duration: 500 
rate: 13896 	 duration: 500 
rate: 21936 	 duration: 500 
rate: 21552 	 duration: 500 
rate: 16104 	 duration: 500 
rate: 17472 	 duration: 500 
rate: 20016 	 duration: 500 
rate: 19776 	 duration: 500 
rate: 10848 	 duration: 500 
rate: 10922 	 duration: 501 
rate: 6072 	 duration: 500 
rate: 8544 	 duration: 500 
rate: 14640 	 duration: 500 
rate: 17904 	 duration: 500 
rate: 20088 	 duration: 500 
rate: 11832 	 duration: 500 
rate: 16032 	 duration: 500 
rate: 16285 	 duration: 504 
rate: 10608 	 duration: 500 
rate: 8820 	 duration: 502 
rate: 11016 	 duration: 500 
rate: 10848 	 duration: 500 
rate: 18936 	 duration: 500 
rate: 21000 	 duration: 500 
rate: 18336 	 duration: 500 
rate: 13848 	 duration: 500 
rate: 21120 	 duration: 500 
rate: 13505 	 duration: 510 
rate: 14952 	 duration: 500 
rate: 10807 	 duration: 503 
rate: 13728 	 duration: 500 
rate: 17040 	 duration: 500 
rate: 21240 	 duration: 500 
rate: 20712 	 duration: 500 
rate: 21024 	 duration: 500 
rate: 21365 	 duration: 501 
rate: 21864 	 duration: 500 
rate: 17856 	 duration: 500 
rate: 18624 	 duration: 500 
rate: 21240 	 duration: 500 
rate: 14448 	 duration: 500 
rate: 12072 	 duration: 500 
rate: 17976 	 duration: 500 
rate: 13848 	 duration: 500 
rate: 17928 	 duration: 500 
rate: 16824 	 duration: 500 
rate: 18048 	 duration: 500 
rate: 23448 	 duration: 500 
rate: 19728 	 duration: 500 
rate: 20431 	 duration: 501 
rate: 10754 	 duration: 501 
rate: 14304 	 duration: 500 
rate: 17040 	 duration: 500 
rate: 21312 	 duration: 500 
rate: 20694 	 duration: 501 
rate: 23592 	 duration: 500 
rate: 24048 	 duration: 500 
rate: 24912 	 duration: 500 
rate: 11067 	 duration: 502 
rate: 16704 	 duration: 500 
rate: 23208 	 duration: 500 
rate: 21312 	 duration: 500 
rate: 14640 	 duration: 500 
rate: 9264 	 duration: 500 
rate: 12192 	 duration: 500 
rate: 13560 	 duration: 500 
rate: 13416 	 duration: 500 
rate: 12192 	 duration: 500 
rate: 5370 	 duration: 505 
rate: 8934 	 duration: 501 
rate: 10107 	 duration: 501 
rate: 13608 	 duration: 500 
rate: 11520 	 duration: 500 
rate: 10920 	 duration: 500 
rate: 12430 	 duration: 502 
rate: 9173 	 duration: 501 
rate: 16536 	 duration: 500 
rate: 10248 	 duration: 500 
rate: 13656 	 duration: 500 
rate: 18696 	 duration: 500 
rate: 20472 	 duration: 500 
rate: 20616 	 duration: 500 
rate: 19992 	 duration: 500 
rate: 18456 	 duration: 500 
rate: 21360 	 duration: 500 
rate: 22440 	 duration: 500 
rate: 24816 	 duration: 500 
rate: 21768 	 duration: 500 
rate: 19848 	 duration: 500 
rate: 22416 	 duration: 500 
rate: 23328 	 duration: 500 
rate: 21744 	 duration: 500 
rate: 19032 	 duration: 500 
rate: 15528 	 duration: 500 
rate: 21624 	 duration: 500 
rate: 20838 	 duration: 501 
rate: 18864 	 duration: 500 
rate: 23520 	 duration: 500 
rate: 18912 	 duration: 500 
rate: 21024 	 duration: 500 
rate: 20088 	 duration: 500 
rate: 21072 	 duration: 500 
rate: 20952 	 duration: 500 
rate: 21096 	 duration: 500 
rate: 23952 	 duration: 500 
rate: 22800 	 duration: 500 
rate: 20376 	 duration: 500 
rate: 20616 	 duration: 500 
rate: 18816 	 duration: 500 
rate: 22416 	 duration: 500 
rate: 22944 	 duration: 500 
rate: 22200 	 duration: 500 
rate: 20808 	 duration: 500 
rate: 21840 	 duration: 500 
rate: 22968 	 duration: 500 
rate: 21936 	 duration: 500 
rate: 20880 	 duration: 500 
rate: 20448 	 duration: 500 
rate: 23136 	 duration: 500 
rate: 20095 	 duration: 501 
rate: 22584 	 duration: 500 
rate: 20448 	 duration: 500 
rate: 24192 	 duration: 500 
rate: 21408 	 duration: 500 
rate: 20880 	 duration: 500 
rate: 24720 	 duration: 500 
rate: 22032 	 duration: 500 
rate: 20664 	 duration: 500 
rate: 23400 	 duration: 500 
rate: 21360 	 duration: 500 
rate: 21696 	 duration: 500 
rate: 19128 	 duration: 500 
rate: 23664 	 duration: 500 
rate: 22104 	 duration: 500 
rate: 21024 	 duration: 500 
rate: 24696 	 duration: 500 
rate: 21792 	 duration: 500 
rate: 11712 	 duration: 500 
rate: 12312 	 duration: 500 
rate: 18262 	 duration: 502 
rate: 14568 	 duration: 500 
rate: 17568 	 duration: 500 
rate: 15312 	 duration: 500 
rate: 18576 	 duration: 500 
rate: 17256 	 duration: 500 
rate: 14664 	 duration: 500 
rate: 15768 	 duration: 500 
