#t:nan-nan ; rate:nan-nan
rate: 1410 	 duration: 502 
rate: 16704 	 duration: 505 
rate: 6504 	 duration: 500 
rate: 7200 	 duration: 500 
rate: 10395 	 duration: 501 
rate: 11712 	 duration: 500 
rate: 15144 	 duration: 500 
rate: 14858 	 duration: 508 
rate: 10248 	 duration: 500 
rate: 21240 	 duration: 500 
rate: 18155 	 duration: 501 
rate: 20904 	 duration: 500 
rate: 20496 	 duration: 500 
rate: 13080 	 duration: 500 
rate: 7632 	 duration: 500 
rate: 11040 	 duration: 500 
rate: 9456 	 duration: 500 
rate: 12912 	 duration: 500 
rate: 15960 	 duration: 500 
rate: 5496 	 duration: 500 
rate: 14328 	 duration: 500 
rate: 13152 	 duration: 500 
rate: 10152 	 duration: 500 
rate: 17976 	 duration: 500 
rate: 15840 	 duration: 500 
rate: 20256 	 duration: 500 
rate: 21024 	 duration: 500 
rate: 22584 	 duration: 500 
rate: 23520 	 duration: 500 
rate: 26136 	 duration: 500 
rate: 24072 	 duration: 500 
rate: 21672 	 duration: 500 
rate: 12445 	 duration: 539 
rate: 9864 	 duration: 517 
rate: 13580 	 duration: 501 
rate: 11016 	 duration: 500 
rate: 16080 	 duration: 500 
rate: 22944 	 duration: 500 
rate: 10577 	 duration: 506 
rate: 13200 	 duration: 500 
rate: 20112 	 duration: 500 
rate: 21792 	 duration: 500 
rate: 15336 	 duration: 500 
rate: 25944 	 duration: 500 
rate: 25272 	 duration: 500 
rate: 21672 	 duration: 500 
rate: 26088 	 duration: 500 
rate: 16680 	 duration: 500 
rate: 18696 	 duration: 500 
rate: 25416 	 duration: 500 
rate: 24552 	 duration: 500 
rate: 26016 	 duration: 500 
rate: 25272 	 duration: 500 
rate: 25896 	 duration: 500 
rate: 25392 	 duration: 500 
rate: 26040 	 duration: 500 
rate: 24336 	 duration: 500 
rate: 22560 	 duration: 500 
rate: 24192 	 duration: 500 
rate: 25728 	 duration: 500 
rate: 26064 	 duration: 500 
rate: 25752 	 duration: 500 
rate: 25872 	 duration: 500 
rate: 22512 	 duration: 500 
rate: 21888 	 duration: 500 
rate: 22416 	 duration: 500 
rate: 22608 	 duration: 500 
rate: 22416 	 duration: 500 
rate: 22104 	 duration: 500 
rate: 22440 	 duration: 500 
rate: 22443 	 duration: 501 
rate: 22776 	 duration: 500 
rate: 21744 	 duration: 500 
rate: 21336 	 duration: 500 
rate: 22488 	 duration: 500 
rate: 22608 	 duration: 500 
rate: 22512 	 duration: 500 
rate: 22248 	 duration: 500 
rate: 23112 	 duration: 500 
rate: 23784 	 duration: 500 
rate: 24144 	 duration: 500 
rate: 25224 	 duration: 500 
rate: 25440 	 duration: 500 
rate: 25896 	 duration: 500 
rate: 25800 	 duration: 500 
rate: 23592 	 duration: 500 
rate: 22248 	 duration: 500 
rate: 20640 	 duration: 500 
rate: 20424 	 duration: 500 
rate: 23256 	 duration: 500 
rate: 21744 	 duration: 500 
rate: 22272 	 duration: 500 
rate: 22656 	 duration: 500 
rate: 22586 	 duration: 501 
rate: 22560 	 duration: 500 
rate: 22656 	 duration: 500 
rate: 22968 	 duration: 500 
rate: 24696 	 duration: 500 
rate: 22152 	 duration: 500 
rate: 22512 	 duration: 500 
rate: 22608 	 duration: 500 
rate: 22656 	 duration: 500 
rate: 21072 	 duration: 500 
rate: 20280 	 duration: 500 
rate: 25008 	 duration: 500 
rate: 25488 	 duration: 500 
rate: 22176 	 duration: 500 
rate: 22488 	 duration: 500 
rate: 22296 	 duration: 500 
rate: 22320 	 duration: 500 
rate: 23160 	 duration: 500 
rate: 20016 	 duration: 500 
rate: 20568 	 duration: 500 
rate: 23784 	 duration: 500 
rate: 24624 	 duration: 500 
rate: 26040 	 duration: 500 
rate: 25536 	 duration: 500 
rate: 22944 	 duration: 500 
rate: 25320 	 duration: 500 
rate: 25944 	 duration: 500 
rate: 25848 	 duration: 500 
rate: 22896 	 duration: 500 
rate: 24120 	 duration: 500 
rate: 24096 	 duration: 500 
rate: 23664 	 duration: 500 
rate: 25776 	 duration: 500 
rate: 21480 	 duration: 500 
rate: 25344 	 duration: 500 
rate: 26376 	 duration: 500 
rate: 26304 	 duration: 500 
rate: 26016 	 duration: 500 
rate: 25992 	 duration: 500 
rate: 26040 	 duration: 500 
rate: 22656 	 duration: 500 
rate: 20088 	 duration: 500 
rate: 21744 	 duration: 500 
rate: 20424 	 duration: 500 
rate: 12696 	 duration: 500 
rate: 22776 	 duration: 500 
rate: 16547 	 duration: 504 
rate: 11496 	 duration: 500 
rate: 8838 	 duration: 501 
rate: 7458 	 duration: 502 
rate: 12240 	 duration: 500 
rate: 11976 	 duration: 500 
rate: 11476 	 duration: 504 
rate: 5880 	 duration: 500 
rate: 4680 	 duration: 500 
rate: 5760 	 duration: 502 
rate: 8844 	 duration: 502 
rate: 10972 	 duration: 502 
rate: 4709 	 duration: 502 
rate: 5604 	 duration: 501 
rate: 9384 	 duration: 500 
rate: 16320 	 duration: 500 
rate: 26352 	 duration: 500 
rate: 21840 	 duration: 500 
rate: 23880 	 duration: 500 
rate: 22344 	 duration: 500 
rate: 27048 	 duration: 500 
rate: 20808 	 duration: 500 
rate: 22562 	 duration: 501 
rate: 24408 	 duration: 500 
